feature,f_test_rank,mutual_info_rank,random_forest_rank,correlation_rank,gradient_boosting_rank,avg_rank,final_rank,f_test_score,mutual_info_score,random_forest_score,correlation_score,gradient_boosting_score
sensor_129,3.0,40.0,5.0,5.0,39.0,18.4,1.0,14.66404350986035,0.01041365862272814,0.01421487448198184,0.10622171109850956,0.008692287444422301
sensor_124,12.0,13.0,45.0,14.0,12.0,19.2,2.0,8.412844724059758,0.01823179190873403,0.006105831623334746,0.07619078163374828,0.021370772950508654
sensor_059,2.0,97.0,2.0,1.0,3.0,21.0,3.0,20.14596763253955,0.002763658003001712,0.02267690646648011,0.1378265818647094,0.031999337152902596
sensor_033,68.0,16.0,3.0,4.0,20.0,22.2,4.0,2.1987796978649348,0.016446531095590133,0.021036148485183256,0.11055577264487576,0.013387219387982157
sensor_064,5.0,61.0,6.0,39.0,1.0,22.4,5.0,13.675520628582817,0.006991758816047744,0.014080751682680952,0.054463479851227826,0.03953936631005143
sensor_510,1.0,17.0,4.0,2.0,109.0,26.6,6.0,26.408693311027722,0.016317050712793657,0.018685252833434828,0.12149374728553196,0.0017388325463348283
sensor_126,44.0,11.0,18.0,36.0,29.0,27.6,7.0,3.542335096482008,0.020471733860311092,0.008329301532405842,0.05690418729663657,0.009953225417648148
sensor_122,11.0,21.0,24.0,11.0,84.0,30.2,8.0,9.11002050113129,0.015625329234367102,0.00735607058012269,0.08388766117311489,0.0031375349566302815
sensor_065,15.0,23.0,11.0,45.0,65.0,31.8,9.0,7.2706787627307365,0.01486737485477252,0.012191520536943203,0.05073291959287334,0.004956392938203514
sensor_205,40.0,102.0,1.0,3.0,14.0,32.0,10.0,4.05324092446028,0.0020059136067578365,0.02360218373468674,0.11758597805455867,0.017994873279996198
sensor_180,13.0,57.0,42.0,10.0,57.0,35.8,11.0,8.00290338474133,0.007313864515409385,0.006238660633553722,0.0848492370746917,0.006068563443280791
sensor_433,33.0,14.0,68.0,52.0,16.0,36.6,12.0,4.571264018214422,0.016756327554532824,0.005236682030939497,0.04734019137474989,0.017483586773666425
sensor_511,23.0,29.0,25.0,21.0,86.0,36.8,13.0,5.475095973130828,0.013528545400726788,0.00728682276569723,0.06729674943772979,0.003085899828923341
sensor_431,4.0,117.0,20.0,15.0,40.0,39.2,14.0,14.09007245886178,8.87433932770243e-05,0.007787285674570078,0.07579996272019147,0.008555589630988432
sensor_063,21.0,41.0,37.0,35.0,64.0,39.6,15.0,5.5262803674089485,0.010400051129194843,0.006410577461529395,0.0573423508419172,0.005022874574060937
sensor_070,17.0,10.0,85.0,26.0,68.0,41.2,16.0,5.775633037563217,0.02067769561458488,0.004678488886641615,0.06424011128340859,0.004543208747947067
sensor_573,39.0,30.0,90.0,43.0,10.0,42.4,17.0,4.196259537264083,0.013371385451995454,0.004500205474566966,0.053248488046564624,0.02182690109528108
sensor_021,6.0,92.0,7.0,9.0,103.0,43.4,18.0,12.463757913501183,0.003391948554945845,0.013947233607354085,0.09240340542139654,0.00213341888421227
sensor_115,55.0,49.0,36.0,56.0,25.0,44.2,19.0,2.6663382625481353,0.008706169249055318,0.006424175752501573,0.045157043016336336,0.011747351324542629
sensor_125,7.0,18.0,12.0,8.0,183.0,45.6,20.5,11.306549548039825,0.01620580008726269,0.010726422648993005,0.09276246982785794,1.5141124870665509e-05
sensor_133,52.0,20.0,48.0,58.0,50.0,45.6,20.5,2.816048479958034,0.015760916540373593,0.006034872209182915,0.04441229249424312,0.007322355561382316
sensor_014,14.0,42.0,54.0,16.0,106.0,46.4,22.0,7.879654981149793,0.009708230009843666,0.005839610678661982,0.07441596896261868,0.0018330272774420473
sensor_200,29.0,86.0,14.0,20.0,91.0,48.0,23.0,5.029599949664174,0.0039381571023371365,0.009130971945956148,0.06939021140690008,0.002758065936916387
sensor_160,16.0,100.0,31.0,24.0,76.0,49.4,24.0,6.185549076485764,0.0023354932694401587,0.006862358125285001,0.06538028520018983,0.004190467259359294
sensor_028,10.0,66.0,13.0,13.0,150.0,50.4,25.0,9.328319622524536,0.006494359062472643,0.01027831658153758,0.07877655641863839,0.0003729521701732159
sensor_519,24.0,38.0,8.0,6.0,185.0,52.2,26.5,5.2068595840690115,0.010790525437505805,0.013943932293408791,0.1041279146168945,7.39171944616961e-06
